State,Capital city,Second city,Third city
Alabama,Montgomery,Mobile,Birmingham
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Tempe,Tuscon
Arkansas,Little Rock,Fayettevile,Hot Springs
California,Sacramento,Los Angeles,San Diego
Colorado,Denver,Boulder,Aspen
Connecticut,Hartford,New Haven,Stamford
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Miami,Tampa
Georgia,Atlanta,Athens,Macon
Hawaii,Honolulu,Kailua-Kona,Hilo
Idaho,Boise,Idaho Falls,Twin Falls
Illinois,Springfield,Chicago,Arglington Heights
Indiana,Indianapolis,Fort Wayne,Bloomington
Iowa,Des Moines,Iowa City,Cedar Rapids
Kansas,Topeka,Wichita,Lawrence
Kentucky,Frankfort,Louisville,Bowling Green
Louisiana,Baton Rouge,New Orleans,Mandeville
Maine,Augusta,Portland,Bangor
Maryland,Annapolis,Baltimore,Ocean City
Massachusetts,Boston,Foxborough,Worcester
Michigan,Lansing,Detroit,Grand Rapids
Minnesota,Saint Paul,Minneapolis,Duluth
Mississippi,Jackson,Starkville,Oxford
Missouri,Jefferson City,St. Louis,Kansas City
Montana,Helena,Big Sky,Bozeman
Nebraska,Lincoln,Omaha,Grand Island
Nevada,Carson City,Reno,Las Vegas
New Hampshire,Concord,Manchester,Portsmouth
New Jersey,Trenton,Newark,Jersey City
New Mexico,Santa Fe,Albuquerque,Roswell
New York,Albany,New York City,Buffalo
North Carolina,Raleigh,Charlotte,Ashville
North Dakota,Bismarck,Fargo,Minot
Ohio,Columbus,Cleveland,Cincinnati
Oklahoma,Oklahoma City,Tulsa,Norman
Oregon,Salem,Portland,Eugene
Pennsylvania,Harrisburg,Pittsburgh,Philadelphia
Rhode Island,Providence,Newport,Cranston
South Carolina,Columbia,Charleston,Myrtle Beach
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Knoxville,Memphis
Texas,Austin,Dallas,Houston
Utah,Salt Lake City,Park City,Ogden
Vermont,Montpelier,Burlington,Stowe
Virginia,Richmond,Norfolk,Roanoke
Washington,Olympia,Seattle,Tacoma
West Virginia,Charleston,Morgantown,Huntington
Wisconsin,Madison,Green Bay,Milwuakee
Wyoming,Cheyenne,Jackson,Casper
